,0,1,2,3,4,5,6,7
16,0.0,-0.439614501,-1.10303357,-2.35778357,-2.5344919999999997,-2.74477165,-2.6845689999999998,-2.88401075
17,0.0,-0.46897840399999996,-1.16565145,-2.49207535,-2.69823491,-2.95584676,-2.82265471,-3.02624606
18,0.0,-0.42281597,-1.05170347,-2.24737266,-2.43277807,-2.65858777,-2.53553984,-2.75884719
19,0.0,-0.393419659,-0.9826635140000001,-2.09878585,-2.2183319,-2.33844409,-2.35297769,-2.51802686
20,0.0,-0.366720626,-0.9205427840000001,-1.96459789,-2.09034237,-2.20641801,-2.15701429,-2.27600134
21,0.0,-0.382735593,-0.957683735,-2.0448971,-2.26137881,-2.54963479,-2.16864382,-2.2492794999999997
22,0.0,-0.300460272,-0.751550565,-1.6022355,-1.78038775,-2.005578,-1.69716318,-1.78771165
23,0.0,-0.255611558,-0.636450197,-1.35683667,-1.50264987,-1.68392173,-1.43159358,-1.49900473
24,0.0,-0.25420108199999997,-0.637695004,-1.35740037,-1.47442596,-1.6093583,-1.43516935,-1.47277204
25,0.0,-0.153189485,-0.38355643100000003,-0.814756025,-0.8820656159999999,-0.9270696909999999,-0.868454614,-0.906073083
26,0.0,-0.165909795,-0.41180950899999996,-0.8775283009999999,-0.948916457,-0.994734558,-0.9547217179999999,-0.990653965
27,0.0,-0.11907347300000001,-0.297327821,-0.631691043,-0.70304597,-0.748878888,-0.6743481840000001,-0.6902542690000001
28,0.0,-0.12112824,-0.302229678,-0.6423251329999999,-0.7138177659999999,-0.758410267,-0.68219724,-0.7017388520000001
29,0.0,-0.101797527,-0.253404584,-0.538857809,-0.599582045,-0.642569377,-0.579397077,-0.601682688
30,0.0,-0.09923452320000001,-0.24610770899999998,-0.524144767,-0.5844115639999999,-0.625411661,-0.577694528,-0.594338195
31,0.0,-0.09258599869999999,-0.23297894800000002,-0.49302422,-0.5587305920000001,-0.6005000389999999,-0.539600945,-0.574282883
32,0.0,-0.0847455142,-0.21045530699999998,-0.4478611,-0.5118104929999999,-0.56026805,-0.486009772,-0.504384217
33,0.0,-0.117034573,-0.292665679,-0.6213961339999999,-0.68979819,-0.7305362479999999,-0.669940661,-0.6923024
34,0.0,-0.177728904,-0.441441719,-0.940619735,-1.02302325,-1.07415173,-1.01038047,-1.03271161
35,0.0,-0.27409456,-0.6822020109999999,-1.45488964,-1.60938858,-1.7875115000000001,-1.56107573,-1.58348222
36,0.0,-0.293105363,-0.729561283,-1.55630399,-1.70126934,-1.86032803,-1.6688493999999998,-1.73152674
