0,1,2,3,4,5,6,7
0.84954265,-0.0,-0.0,-0.17856,-0.1284,-0.12408,-0.23616,-0.17856
0.685303862,-0.0,-0.0,-0.14400000000000002,-0.11994,-0.12516,-0.17856,-0.1152
0.686064472,-0.0,-0.0,-0.10944,-0.12402,-0.18504,-0.1728,-0.09216
0.56633112,-0.0,-0.0,-0.07488,-0.11106,-0.22878,-0.10944,-0.04032
0.404901023,-0.0,-0.0,-0.04608,-0.10452,-0.06912,-0.10944,-0.07488
0.407414793,-0.0,-0.0,-0.06336,-0.10296,-0.13074000000000002,-0.06912,-0.04032
0.285854774,-0.0,-0.0,-0.0288,-0.10692,-0.04602,-0.06912,-0.03456
0.299228791,-0.0,-0.0,-0.02304,-0.10734,-0.06468,-0.06336,-0.04032
0.289832308,-0.0,-0.0,-0.0288,-0.10746,-0.0552,-0.06336,-0.03456
0.25925569,-0.0,-0.0,-0.02304,-0.09072,-0.0357,-0.06912,-0.04032
0.305375919,-0.0,-0.0,-0.0288,-0.08556,-0.02922,-0.06912,-0.09216
0.267683837,-0.0,-0.0,-0.0288,-0.0825,-0.0408,-0.06912,-0.04608
0.355417878,-0.0,-0.0,-0.10368,-0.08496000000000001,-0.03942,-0.07488,-0.05184
0.499837249,-0.0,-0.0,-0.14400000000000002,-0.12222,-0.0423,-0.14400000000000002,-0.04608
0.831521246,-0.0,-0.0,-0.21888,-0.11124,-0.25584,-0.19008,-0.05184
1.00832677,-0.0,-0.0,-0.27072,-0.12072,-0.2718,-0.29376,-0.04608
1.03118334,-0.0,-0.0,-0.41472,-0.12132,-0.21336,-0.2304,-0.04608
1.37255226,-0.0,-0.0,-0.52992,-0.12774000000000002,-0.35934,-0.29376,-0.05184
1.56693376,-0.0,-0.0,-0.55872,-0.13404000000000002,-0.37134,-0.33984000000000003,-0.14976
1.90001265,-0.0,-0.0,-0.50688,-0.13644,-0.3972,-0.42048,-0.42048
2.1653135,-0.0,-0.0,-0.58176,-0.12912,-0.38748,-0.33408000000000004,-0.70848
1.67220462,-0.0,-0.0,-0.44928,-0.14034000000000002,-0.37092,-0.4320000000000001,-0.26496
