0,1,2,3,4,5,6,7
1.04,1.0395229,1.03900478,1.03768139,1.03732073,1.03698677,1.03752758,1.03748495
1.04,1.03942822,1.03874241,1.03714784,1.03676441,1.0363189,1.03689527,1.03672646
1.04,1.0393979,1.0386555,1.03697398,1.03637817,1.03585902,1.03681219,1.03677645
1.04,1.03942705,1.03873239,1.03713328,1.0368763,1.03665825,1.03669118,1.03665543
1.04,1.03923626,1.0383823,1.03628336,1.03564207,1.03532248,1.03594123,1.0356833
1.04,1.03907541,1.03807467,1.03556667,1.03482113,1.03467703,1.03525836,1.03522578
1.04,1.03907134,1.03803343,1.0354981,1.0345544,1.0344417,1.03534465,1.03532079
1.04,1.03929968,1.03854143,1.03662111,1.03619278,1.03605866,1.03636541,1.03634158
1.04,1.03898312,1.03781101,1.03502629,1.03453995,1.03442153,1.03452425,1.03450038
1.04,1.03849589,1.03678713,1.03274642,1.03189335,1.03100071,1.03226837,1.03217501
1.04,1.03734799,1.03404568,1.0268598,1.02607376,1.02474287,1.02566241,1.02561421
1.04,1.03604129,1.03097183,1.02026342,1.01814856,1.01459987,1.01860756,1.01723246
1.04,1.03602044,1.03093326,1.02017966,1.01833703,1.01501815,1.01881957,1.01857525
1.04,1.03726221,1.0338621,1.02646013,1.02459187,1.02131747,1.02503829,1.02489918
1.04,1.03684532,1.03311571,1.02484066,1.02391604,1.02239344,1.02308329,1.02170918
1.04,1.03730164,1.03423115,1.02722355,1.02575609,1.02416653,1.02591087,1.02513101
1.04,1.03722359,1.03386337,1.02644434,1.02453598,1.02393331,1.02552097,1.02532715
1.04,1.03842023,1.03654469,1.03225293,1.03187607,1.03144107,1.03088441,1.03070373
1.04,1.03851764,1.03675215,1.03271241,1.03184694,1.03120289,1.031764,1.03111734
1.04,1.0388818000000002,1.03756747,1.03450207,1.03394614,1.03351942,1.03371999,1.03360013
1.04,1.03857872,1.03681709,1.03290158,1.03205003,1.03141667,1.03218409,1.03176545
1.04,1.03913637,1.03813664,1.03575829,1.0348153,1.03341516,1.03553651,1.03549475
1.04,1.03944013,1.03880763,1.03725431,1.03676311,1.03652855,1.03698142,1.03690387
1.04,1.0393972,1.03870255,1.03702926,1.03647966,1.03566339,1.03686746,1.03682575
1.04,1.03952953,1.03897049,1.03765582,1.03724076,1.03694401,1.0374216,1.03734105
1.04,1.03949514,1.03889185,1.03748189,1.03690503,1.0366856,1.03732868,1.03728699
1.04,1.03951798,1.03894384,1.03759712,1.03720418,1.03673636,1.0373336,1.03729787
1.04,1.03958868,1.03910407,1.03795329,1.03766379,1.03735352,1.03768396,1.03759523
1.04,1.03934476,1.03852244,1.03669189,1.03618157,1.03601988,1.03637268,1.03616485
1.04,1.03951409,1.03892343,1.03756434,1.03720243,1.03685347,1.03726279,1.03718315
1.04,1.03938543,1.03864768,1.03693548,1.03675127,1.03661763,1.03674802,1.03669437
1.04,1.03932058,1.03855912,1.03668489,1.03637219,1.03610159,1.03625179,1.03620409
1.04,1.03891475,1.03772635,1.03479578,1.03397768,1.03310151,1.03440614,1.03435236
1.04,1.03878127,1.03749163,1.034251,1.03365637,1.03272474,1.03360716,1.03336536
1.04,1.03842813,1.03662918,1.03240546,1.0315213,1.03078991,1.03187503,1.03166057
1.04,1.03737845,1.03422137,1.02721275,1.0250223,1.0211105,1.0266898000000002,1.02662797
1.04,1.03653305,1.03224049,1.02296963,1.02059239,1.01661044,1.02142254,1.02126462
1.04,1.03767361,1.03527282,1.02946389,1.02861066,1.02723644,1.02818902,1.02774415
1.04,1.03698181,1.03372768,1.02620151,1.02491461,1.02340951,1.02459528,1.02383493
1.04,1.03699896,1.033459,1.02557257,1.02477349,1.02346698,1.02324355,1.02296345
1.04,1.03781162,1.03519992,1.02932257,1.02882434,1.02817694,1.02807248,1.02718368
1.04,1.03873074,1.03744046,1.03411637,1.03359573,1.03287907,1.0334974,1.03331113
1.04,1.03804743,1.03595995,1.03091765,1.030378,1.02963023,1.02952957,1.02899851
1.04,1.03701563,1.03317691,1.02501957,1.02354707,1.02175504,1.0238593,1.02368347
1.04,1.03851041,1.03674064,1.03268454,1.03157382,1.0305372,1.03194345,1.03139681
1.04,1.03923558,1.03844442,1.03637193,1.0358541,1.03508041,1.03600297,1.03593134
1.04,1.03925866,1.03839876,1.03634865,1.0357521,1.03555059,1.03601373,1.0358796
1.04,1.03895371,1.03762812,1.03471874,1.033745,1.03294655,1.03448114,1.03442949
1.04,1.03931364,1.03847734,1.03656566,1.03618918,1.03574852,1.03634311,1.03620449
1.04,1.03947405,1.03884696,1.03737914,1.03690377,1.03675691,1.03721739,1.0371757
1.04,1.03936238,1.03859147,1.03681491,1.03642592,1.03625657,1.03650026,1.03643804
1.04,1.03967147,1.03932338,1.03840632,1.0382013,1.03804283,1.03821428,1.0381815
1.04,1.03939422,1.0386507,1.03695958,1.03676347,1.03660946,1.03656105,1.03645036
1.04,1.03955251,1.03903843,1.03778983,1.03764105,1.03754048,1.03735539,1.03703954
1.04,1.03931232,1.03852593,1.0366244,1.03609914,1.03587041,1.03627437,1.03619676
1.04,1.03865087,1.03693222,1.0331919,1.0322638000000002,1.03088527,1.03271691,1.03242955
1.04,1.03834203,1.03622678,1.03164536,1.03113808,1.0307110000000002,1.0308111,1.0306328000000002
1.04,1.03879612,1.03743806,1.03417781,1.03329533,1.03205194,1.03377549,1.0337037
1.04,1.03827296,1.03625709,1.03160664,1.03097666,1.02998904,1.03045195,1.03038595
1.04,1.03772239,1.03494724,1.02879224,1.02646782,1.02298909,1.02826212,1.02814092
1.04,1.0375055,1.03438991,1.02760901,1.02595188,1.02304043,1.0269266,1.02686036
1.04,1.03779276,1.03521973,1.0293498,1.02863372,1.02747037,1.02779748,1.02767415
1.04,1.03773324,1.03512579,1.02914083,1.02790606,1.02592553,1.02819826,1.02778565
1.04,1.03798853,1.0356812,1.03033996,1.0294779,1.02871971,1.0291362,1.02829126
1.04,1.03757326,1.0346617,1.02816092,1.02627076,1.02369337,1.02737356,1.02720442
1.04,1.03841706,1.03669038,1.03250735,1.03177909,1.03087505,1.03156361,1.03110999
1.04,1.03815805,1.03597608,1.0310055,1.02975181,1.02857219,1.03009196,1.02953623
1.04,1.03891444,1.03777518,1.03487569,1.03427857,1.03338318,1.034362,1.03429624
1.04,1.03801921,1.03552151,1.0300848,1.02841346,1.02632577,1.02917448,1.02883612
1.04,1.03886504,1.0375450000000002,1.03444214,1.0337607,1.03294008,1.03370222,1.0335354
1.04,1.03885195,1.03740567,1.03422031,1.03328678,1.03217477,1.03358531,1.0335135
1.04,1.03915108,1.03811459,1.03575759,1.03510371,1.03461196,1.03526961,1.03520391
